time;dataset;distribution;seed;#parts;model;lr;num_epoch;hidden_layer_size;batch_size;value functions;method;process time
2024-03-30 03:22:16;tictactoe;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;['robust_volume'];ShapleyValue;54892.306820684
2024-03-30 03:23:04;tictactoe;label skew;6695;8;TicTacToeMLP;0.008;80;16;16;['robust_volume'];ShapleyValue;48164.730421491004
2024-03-30 03:23:44;tictactoe;label skew;6696;8;TicTacToeMLP;0.008;80;16;16;['robust_volume'];ShapleyValue;40648.470696711
2024-03-30 03:21:18;dota2;label skew;6694;8;Dota2MLP;0.001;5;4;128;['gradient_similarity'];ShapleyValue;15114.252339848
2024-03-30 03:21:23;tictactoe;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;['gradient_similarity'];ShapleyValue;51529.479806667
2024-03-30 03:21:24;adult;label skew;6694;8;AdultMLP;0.001;25;24;64;['gradient_similarity'];ShapleyValue;46573.467589785
2024-03-30 03:21:28;bank;label skew;6694;8;BankMLP;0.001;20;8;64;['gradient_similarity'];ShapleyValue;49185.799707786
2024-03-30 03:22:11;dota2;label skew;6695;8;Dota2MLP;0.001;5;4;128;['gradient_similarity'];ShapleyValue;13744.033311115
2024-03-30 03:22:16;adult;label skew;6695;8;AdultMLP;0.001;25;24;64;['gradient_similarity'];ShapleyValue;45065.312828251
2024-03-30 03:22:17;tictactoe;label skew;6695;8;TicTacToeMLP;0.008;80;16;16;['gradient_similarity'];ShapleyValue;53601.194899826
2024-03-30 03:22:28;bank;label skew;6695;8;BankMLP;0.001;20;8;64;['gradient_similarity'];ShapleyValue;47190.555713401
2024-03-30 03:22:51;dota2;label skew;6696;8;Dota2MLP;0.001;5;4;128;['gradient_similarity'];ShapleyValue;9555.338527081
2024-03-30 03:23:00;adult;label skew;6696;8;AdultMLP;0.001;25;24;64;['gradient_similarity'];ShapleyValue;38444.967308551
2024-03-30 03:23:10;tictactoe;label skew;6696;8;TicTacToeMLP;0.008;80;16;16;['gradient_similarity'];ShapleyValue;52996.516619815
2024-03-30 03:23:16;bank;label skew;6696;8;BankMLP;0.001;20;8;64;['gradient_similarity'];ShapleyValue;38687.482208377
2024-03-30 03:21:03;tictactoe;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;['data_quantity'];ShapleyValue;13.348756013753418
2024-03-30 03:21:04;tictactoe;label skew;6695;8;TicTacToeMLP;0.008;80;16;16;['data_quantity'];ShapleyValue;13.237249635374512
2024-03-30 03:21:04;tictactoe;label skew;6696;8;TicTacToeMLP;0.008;80;16;16;['data_quantity'];ShapleyValue;7.730329463953613
2024-03-30 03:21:09;adult;label skew;6694;8;AdultMLP;0.001;25;24;64;['data_quantity'];ShapleyValue;580.9684667191875
2024-03-30 03:21:13;bank;label skew;6694;8;BankMLP;0.001;20;8;64;['data_quantity'];ShapleyValue;1445.547652615
2024-03-30 03:21:14;adult;label skew;6695;8;AdultMLP;0.001;25;24;64;['data_quantity'];ShapleyValue;227.88371255967186
2024-03-30 03:21:22;adult;label skew;6696;8;AdultMLP;0.001;25;24;64;['data_quantity'];ShapleyValue;1967.944228265375
2024-03-30 03:21:27;bank;label skew;6695;8;BankMLP;0.001;20;8;64;['data_quantity'];ShapleyValue;1876.3176133034376
2024-03-30 03:21:41;bank;label skew;6696;8;BankMLP;0.001;20;8;64;['data_quantity'];ShapleyValue;2101.139987641
2024-03-30 03:21:46;dota2;label skew;6694;8;Dota2MLP;0.001;5;4;128;['data_quantity'];ShapleyValue;4916.720658976
2024-03-30 03:22:22;dota2;label skew;6695;8;Dota2MLP;0.001;5;4;128;['data_quantity'];ShapleyValue;4373.0920513505
2024-03-30 03:23:00;dota2;label skew;6696;8;Dota2MLP;0.001;5;4;128;['data_quantity'];ShapleyValue;3227.110789729375
2024-03-31 06:39:10;dota2;label skew;6694;8;Dota2MLP;0.001;5;4;128;['accuracy'];ShapleyValue;844494.480940159
2024-03-31 06:40:43;tictactoe;label skew;6694;8;TicTacToeMLP;0.008;80;16;16;['accuracy'];ShapleyValue;954154.680827899
2024-03-31 06:53:12;dota2;label skew;6695;8;Dota2MLP;0.001;5;4;128;['accuracy'];ShapleyValue;831347.910350065
2024-03-31 06:55:10;tictactoe;label skew;6695;8;TicTacToeMLP;0.008;80;16;16;['accuracy'];ShapleyValue;867789.874915361
2024-03-31 07:00:48;adult;label skew;6694;8;AdultMLP;0.001;25;24;64;['accuracy'];ShapleyValue;2157145.912468867
2024-03-31 07:06:51;dota2;label skew;6696;8;Dota2MLP;0.001;5;4;128;['accuracy'];ShapleyValue;803707.298431586
2024-03-31 07:07:18;bank;label skew;6694;8;BankMLP;0.001;20;8;64;['accuracy'];ShapleyValue;2545663.044507786
2024-03-31 07:09:07;tictactoe;label skew;6696;8;TicTacToeMLP;0.008;80;16;16;['accuracy'];ShapleyValue;837077.372667035
2024-03-31 07:33:54;adult;label skew;6695;8;AdultMLP;0.001;25;24;64;['accuracy'];ShapleyValue;1985505.41133074
2024-03-31 07:45:58;bank;label skew;6695;8;BankMLP;0.001;20;8;64;['accuracy'];ShapleyValue;2318408.065163205
2024-03-31 08:06:39;adult;label skew;6696;8;AdultMLP;0.001;25;24;64;['accuracy'];ShapleyValue;1964039.363665378
2024-03-31 08:24:34;bank;label skew;6696;8;BankMLP;0.001;20;8;64;['accuracy'];ShapleyValue;2314057.458638771
